Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
2417, 0, 0, 0, 0, 0
2518, -5, 31, -1, 10, 0
2619, -10, 62, -1, 20, 0
2720, -15, 93, -2, 35, 0
2821, -20, 124, -3, 50, 0
2922, -25, 155, -3, 70, 0
3023, -30, 186, -4, 90, 1
3124, -35, 217, -4, 110, 1
3225, -40, 248, -5, 130, 1
3326, -44, 258, -16, 155, 2
3428, -48, 268, -28, 180, 5
3529, -52, 278, -39, 210, 7
3630, -56, 288, -50, 240, 9
3731, -60, 298, -61, 270, 11
3832, -64, 308, -73, 300, 14
3933, -68, 318, -84, 320, 16
4034, -72, 328, -95, 340, 18
4135, -51, 327, -102, 365, 20
4236, -30, 326, -109, 390, 21
4337, -9, 325, -116, 420, 23
4438, 12, 324, -123, 450, 24
4539, 33, 323, -129, 485, 25
4640, 54, 322, -136, 520, 27
4741, 75, 321, -143, 565, 28
4842, 96, 320, -150, 610, 29
4943, 85, 321, -189, 635, 31
5044, 74, 322, -229, 660, 35
5145, 63, 323, -268, 680, 41
5246, 52, 324, -308, 700, 49
5348, 41, 325, -347, 715, 56
5449, 30, 326, -386, 730, 64
5550, 19, 327, -426, 740, 71
5651, 8, 328, -465, 750, 79
5752, 10, 341, -459, 770, 85
5853, 12, 354, -453, 790, 90
5954, 14, 367, -446, 800, 92
6055, 16, 380, -440, 810, 91
6156, 18, 393, -434, 815, 89
6257, 20, 406, -428, 820, 86
6358, 22, 419, -421, 825, 85
6459, 24, 432, -415, 830, 83
6560, 20, 430, -351, 840, 82
6661, 16, 428, -288, 850, 79
6762, 12, 426, -224, 855, 73
6863, 8, 424, -160, 860, 65
6964, 4, 422, -96, 865, 56
7065, 0, 420, -33, 870, 44
7166, -4, 418, 31, 880, 32
7268, -8, 416, 95, 890, 19
7368, -8, 416, 95, 890, 8
7468, -8, 416, 95, 890, -1
7569, 3, 411, 53, 875, -9
7670, 14, 406, 10, 860, -14
7771, 25, 401, -33, 840, -17
7872, 36, 396, -75, 820, -18
7973, 47, 391, -118, 795, -16
8074, 58, 386, -160, 770, -11
8175, 69, 381, -203, 735, -5
8276, 80, 376, -245, 700, 4
8378, 82, 377, -239, 650, 14
8479, 84, 378, -234, 600, 24
8580, 86, 379, -228, 555, 33
8681, 88, 380, -223, 510, 39
8782, 90, 381, -217, 450, 44
8883, 92, 382, -211, 390, 46
8984, 94, 383, -206, 360, 47
9085, 96, 384, -200, 330, 44
9186, 79, 346, -177, 300, 40
9287, 62, 308, -154, 270, 36
9388, 45, 270, -131, 240, 31
9489, 28, 232, -108, 210, 27
9590, 11, 194, -84, 180, 22
9691, -6, 156, -61, 150, 17
9792, -23, 118, -38, 125, 13
9893, -40, 80, -15, 100, 8
9994, -35, 70, -13, 80, 5
10095, -30, 60, -11, 60, 3
10196, -25, 50, -9, 45, 3
10298, -20, 40, -8, 30, 3
10399, -15, 30, -6, 20, 2
10500, -10, 20, -4, 10, 2
10601, 0, 0, 0, 0, 1
10702, -5, 31, -1, 10, 1
10803, -10, 62, -1, 20, 1
10904, -15, 93, -2, 35, 1
11005, -20, 124, -3, 50, 1
11106, -25, 155, -3, 70, 1
11207, -30, 186, -4, 90, 2
11308, -35, 217, -4, 110, 2
11409, -40, 248, -5, 130, 2
11510, -44, 258, -16, 155, 3
11611, -48, 268, -28, 180, 6
11712, -52, 278, -39, 210, 8
11813, -56, 288, -50, 240, 10
11914, -60, 298, -61, 270, 12
12015, -64, 308, -73, 300, 15
12116, -68, 318, -84, 320, 17
12218, -72, 328, -95, 340, 19
12319, -51, 327, -102, 365, 21
12420, -30, 326, -109, 390, 22
12521, -9, 325, -116, 420, 24
12622, 12, 324, -123, 450, 25
12723, 33, 323, -129, 485, 26
12824, 54, 322, -136, 520, 28
12925, 75, 321, -143, 565, 29
13026, 96, 320, -150, 610, 30
13127, 85, 321, -189, 635, 34
13228, 74, 322, -229, 660, 39
13329, 63, 323, -268, 680, 45
13430, 52, 324, -308, 700, 52
13531, 41, 325, -347, 715, 59
13632, 30, 326, -386, 730, 66
13733, 19, 327, -426, 740, 73
13834, 8, 328, -465, 750, 81
13935, 10, 341, -459, 770, 87
14036, 12, 354, -453, 790, 91
14138, 14, 367, -446, 800, 93
14239, 16, 380, -440, 810, 92
14340, 18, 393, -434, 815, 89
14441, 20, 406, -428, 820, 87
14542, 22, 419, -421, 825, 85
14643, 24, 432, -415, 830, 84
14744, 20, 430, -351, 840, 83
14845, 16, 428, -288, 850, 79
14946, 12, 426, -224, 855, 73
15047, 8, 424, -160, 860, 65
15148, 4, 422, -96, 865, 56
15249, 0, 420, -33, 870, 44
15350, -4, 418, 31, 880, 31
15451, -8, 416, 95, 890, 19
15552, -8, 416, 95, 890, 8
15652, -8, 416, 95, 890, -1
15753, 3, 411, 53, 875, -8
15854, 14, 406, 10, 860, -13
15955, 25, 401, -33, 840, -16
16056, 36, 396, -75, 820, -17
16157, 47, 391, -118, 795, -14
16258, 58, 386, -160, 770, -10
16359, 69, 381, -203, 735, -4
16460, 80, 376, -245, 700, 5
16561, 82, 377, -239, 650, 15
16662, 84, 378, -234, 600, 25
16763, 86, 379, -228, 555, 34
16864, 88, 380, -223, 510, 40
16965, 90, 381, -217, 450, 45
17067, 92, 382, -211, 390, 47
17168, 94, 383, -206, 360, 48
17269, 96, 384, -200, 330, 45
17370, 79, 346, -177, 300, 41
17471, 62, 308, -154, 270, 37
17572, 45, 270, -131, 240, 32
17673, 28, 232, -108, 210, 28
17774, 11, 194, -84, 180, 23
17875, -6, 156, -61, 150, 18
17976, -23, 118, -38, 125, 14
18077, -40, 80, -15, 100, 9
18178, -35, 70, -13, 80, 6
18279, -30, 60, -11, 60, 4
18380, -25, 50, -9, 45, 4
18481, -20, 40, -8, 30, 4
18582, -15, 30, -6, 20, 3
18683, -10, 20, -4, 10, 3
18784, 0, 0, 0, 0, 2
18885, -5, 31, -1, 10, 2
18987, -10, 62, -1, 20, 2
19088, -15, 93, -2, 35, 2
19189, -20, 124, -3, 50, 2
19290, -25, 155, -3, 70, 2
19391, -30, 186, -4, 90, 3
19492, -35, 217, -4, 110, 3
19593, -40, 248, -5, 130, 3
19694, -44, 258, -16, 155, 4
19795, -48, 268, -28, 180, 7
19896, -52, 278, -39, 210, 9
19997, -56, 288, -50, 240, 11
20098, -60, 298, -61, 270, 13
20199, -64, 308, -73, 300, 16
20300, -68, 318, -84, 320, 18
20401, -72, 328, -95, 340, 20
20502, -51, 327, -102, 365, 22
20603, -30, 326, -109, 390, 23
20704, -9, 325, -116, 420, 25
20805, 12, 324, -123, 450, 26
20907, 33, 323, -129, 485, 27
21008, 54, 322, -136, 520, 29
21109, 75, 321, -143, 565, 30
21210, 96, 320, -150, 610, 31
21311, 85, 321, -189, 635, 33
21412, 74, 322, -229, 660, 37
21513, 63, 323, -268, 680, 43
21614, 52, 324, -308, 700, 51
21715, 41, 325, -347, 715, 58
21816, 30, 326, -386, 730, 66
21917, 19, 327, -426, 740, 74
22018, 8, 328, -465, 750, 81
22119, 10, 341, -459, 770, 87
22220, 12, 354, -453, 790, 92
22321, 14, 367, -446, 800, 94
22422, 16, 380, -440, 810, 93
22523, 18, 393, -434, 815, 91
22624, 20, 406, -428, 820, 88
22725, 22, 419, -421, 825, 86
22827, 24, 432, -415, 830, 85
22928, 20, 430, -351, 840, 84
23029, 16, 428, -288, 850, 80
23130, 12, 426, -224, 855, 75
23231, 8, 424, -160, 860, 67
23332, 4, 422, -96, 865, 57
23433, 0, 420, -33, 870, 46
23534, -4, 418, 31, 880, 33
23635, -8, 416, 95, 890, 21
23736, -8, 416, 95, 890, 10
23836, -8, 416, 95, 890, 0
23937, 3, 411, 53, 875, -7
24038, 14, 406, 10, 860, -12
24139, 25, 401, -33, 840, -15
24240, 36, 396, -75, 820, -16
24341, 47, 391, -118, 795, -13
24442, 58, 386, -160, 770, -9
24543, 69, 381, -203, 735, -3
24644, 80, 376, -245, 700, 6
24745, 82, 377, -239, 650, 16
24847, 84, 378, -234, 600, 26
24948, 86, 379, -228, 555, 35
25049, 88, 380, -223, 510, 41
25150, 90, 381, -217, 450, 46
25251, 92, 382, -211, 390, 48
25352, 94, 383, -206, 360, 49
25453, 96, 384, -200, 330, 46
25555, 79, 346, -177, 300, 42
25656, 62, 308, -154, 270, 38
25757, 45, 270, -131, 240, 33
25858, 28, 232, -108, 210, 29
25959, 11, 194, -84, 180, 24
26060, -6, 156, -61, 150, 19
26162, -23, 118, -38, 125, 15
26263, -40, 80, -15, 100, 10
26364, -35, 70, -13, 80, 7
26465, -30, 60, -11, 60, 5
26566, -25, 50, -9, 45, 5
26667, -20, 40, -8, 30, 5
26768, -15, 30, -6, 20, 4
26869, -10, 20, -4, 10, 4
26970, 0, 0, 0, 0, 3
27071, -5, 31, -1, 10, 3
27172, -10, 62, -1, 20, 3
27273, -15, 93, -2, 35, 3
27374, -20, 124, -3, 50, 3
27475, -25, 155, -3, 70, 3
27576, -30, 186, -4, 90, 4
27677, -35, 217, -4, 110, 4
27778, -40, 248, -5, 130, 4
27879, -44, 258, -16, 155, 5
27980, -48, 268, -28, 180, 8
28081, -52, 278, -39, 210, 10
28182, -56, 288, -50, 240, 12
28283, -60, 298, -61, 270, 14
28384, -64, 308, -73, 300, 17
28485, -68, 318, -84, 320, 19
28587, -72, 328, -95, 340, 21
28688, -51, 327, -102, 365, 23
28789, -30, 326, -109, 390, 24
28890, -9, 325, -116, 420, 26
28991, 12, 324, -123, 450, 27
29092, 33, 323, -129, 485, 28
29193, 54, 322, -136, 520, 30
29294, 75, 321, -143, 565, 31
29395, 96, 320, -150, 610, 32
29496, 85, 321, -189, 635, 34
29597, 74, 322, -229, 660, 38
29698, 63, 323, -268, 680, 44
29799, 52, 324, -308, 700, 52
29900, 41, 325, -347, 715, 59
30001, 30, 326, -386, 730, 67
30102, 19, 327, -426, 740, 75
30203, 8, 328, -465, 750, 82
30304, 10, 341, -459, 770, 88
30405, 12, 354, -453, 790, 93
30507, 14, 367, -446, 800, 95
30608, 16, 380, -440, 810, 94
30709, 18, 393, -434, 815, 92
30810, 20, 406, -428, 820, 89
30911, 22, 419, -421, 825, 87
31012, 24, 432, -415, 830, 86
31113, 20, 430, -351, 840, 85
31214, 16, 428, -288, 850, 81
31315, 12, 426, -224, 855, 76
31416, 8, 424, -160, 860, 68
31517, 4, 422, -96, 865, 59
31618, 0, 420, -33, 870, 47
31719, -4, 418, 31, 880, 34
31820, -8, 416, 95, 890, 22
31920, -8, 416, 95, 890, 11
32021, -8, 416, 95, 890, 2
32122, 3, 411, 53, 875, -6
32223, 14, 406, 10, 860, -11
32324, 25, 401, -33, 840, -14
32425, 36, 396, -75, 820, -15
32527, 47, 391, -118, 795, -12
32628, 58, 386, -160, 770, -8
32729, 69, 381, -203, 735, -2
32830, 80, 376, -245, 700, 7
32931, 82, 377, -239, 650, 17
33032, 84, 378, -234, 600, 27
33133, 86, 379, -228, 555, 36
33234, 88, 380, -223, 510, 42
33335, 90, 381, -217, 450, 47
33436, 92, 382, -211, 390, 49
33537, 94, 383, -206, 360, 50
33638, 96, 384, -200, 330, 47
33739, 79, 346, -177, 300, 43
33840, 62, 308, -154, 270, 39
33941, 45, 270, -131, 240, 34
34042, 28, 232, -108, 210, 30
34143, 11, 194, -84, 180, 25
34244, -6, 156, -61, 150, 20
34345, -23, 118, -38, 125, 16
34447, -40, 80, -15, 100, 11
34548, -35, 70, -13, 80, 8
34649, -30, 60, -11, 60, 6
34750, -25, 50, -9, 45, 6
34851, -20, 40, -8, 30, 6
34952, -15, 30, -6, 20, 5
35053, -10, 20, -4, 10, 5
35154, 0, 0, 0, 0, 4
35255, -5, 31, -1, 10, 4
35356, -10, 62, -1, 20, 4
35457, -15, 93, -2, 35, 4
35558, -20, 124, -3, 50, 4
35659, -25, 155, -3, 70, 4
35760, -30, 186, -4, 90, 5
35861, -35, 217, -4, 110, 5
35962, -40, 248, -5, 130, 5
36063, -44, 258, -16, 155, 6
36164, -48, 268, -28, 180, 9
36265, -52, 278, -39, 210, 11
36367, -56, 288, -50, 240, 13
36468, -60, 298, -61, 270, 15
36569, -64, 308, -73, 300, 18
36670, -68, 318, -84, 320, 20
36771, -72, 328, -95, 340, 22
36872, -51, 327, -102, 365, 24
36973, -30, 326, -109, 390, 25
37074, -9, 325, -116, 420, 27
37175, 12, 324, -123, 450, 28
37276, 33, 323, -129, 485, 29
37377, 54, 322, -136, 520, 31
37478, 75, 321, -143, 565, 32
37579, 96, 320, -150, 610, 33
37680, 85, 321, -189, 635, 35
37781, 74, 322, -229, 660, 39
37882, 63, 323, -268, 680, 45
37983, 52, 324, -308, 700, 53
38084, 41, 325, -347, 715, 60
38185, 30, 326, -386, 730, 68
38287, 19, 327, -426, 740, 76
38388, 8, 328, -465, 750, 83
38489, 10, 341, -459, 770, 89
38590, 12, 354, -453, 790, 94
38691, 14, 367, -446, 800, 96
38792, 16, 380, -440, 810, 95
38893, 18, 393, -434, 815, 93
38994, 20, 406, -428, 820, 90
39095, 22, 419, -421, 825, 88
39196, 24, 432, -415, 830, 87
39297, 20, 430, -351, 840, 86
39398, 16, 428, -288, 850, 83
39499, 12, 426, -224, 855, 77
39600, 8, 424, -160, 860, 70
39701, 4, 422, -96, 865, 60
39802, 0, 420, -33, 870, 48
39903, -4, 418, 31, 880, 36
40004, -8, 416, 95, 890, 23
40105, -8, 416, 95, 890, 12
40205, -8, 416, 95, 890, 3
40306, 3, 411, 53, 875, -5
40407, 14, 406, 10, 860, -10
40508, 25, 401, -33, 840, -13
40609, 36, 396, -75, 820, -14
40710, 47, 391, -118, 795, -12
40811, 58, 386, -160, 770, -7
40912, 69, 381, -203, 735, -1
41013, 80, 376, -245, 700, 7
41114, 82, 377, -239, 650, 18
41216, 84, 378, -234, 600, 28
41317, 86, 379, -228, 555, 37
41418, 88, 380, -223, 510, 43
41519, 90, 381, -217, 450, 49
41620, 92, 382, -211, 390, 51
41721, 94, 383, -206, 360, 52
41822, 96, 384, -200, 330, 49
41923, 79, 346, -177, 300, 45
42024, 62, 308, -154, 270, 41
42125, 45, 270, -131, 240, 36
42226, 28, 232, -108, 210, 32
42327, 11, 194, -84, 180, 27
42428, -6, 156, -61, 150, 22
42529, -23, 118, -38, 125, 18
42630, -40, 80, -15, 100, 13
42731, -35, 70, -13, 80, 10
42832, -30, 60, -11, 60, 8
42933, -25, 50, -9, 45, 8
43034, -20, 40, -8, 30, 8
43136, -15, 30, -6, 20, 7
43237, -10, 20, -4, 10, 7
43338, 0, 0, 0, 0, 6
43439, -5, 31, -1, 10, 6
43540, -10, 62, -1, 20, 6
43641, -15, 93, -2, 35, 6
43742, -20, 124, -3, 50, 6
43843, -25, 155, -3, 70, 6
43944, -30, 186, -4, 90, 7
44045, -35, 217, -4, 110, 7
44146, -40, 248, -5, 130, 7
44247, -44, 258, -16, 155, 8
44348, -48, 268, -28, 180, 11
44449, -52, 278, -39, 210, 13
44550, -56, 288, -50, 240, 15
44651, -60, 298, -61, 270, 17
44752, -64, 308, -73, 300, 20
44853, -68, 318, -84, 320, 22
44954, -72, 328, -95, 340, 24
45056, -51, 327, -102, 365, 26
45157, -30, 326, -109, 390, 27
45258, -9, 325, -116, 420, 29
45359, 12, 324, -123, 450, 30
45460, 33, 323, -129, 485, 31
45561, 54, 322, -136, 520, 33
45662, 75, 321, -143, 565, 34
45763, 96, 320, -150, 610, 35
45864, 85, 321, -189, 635, 37
45965, 74, 322, -229, 660, 41
46066, 63, 323, -268, 680, 47
46167, 52, 324, -308, 700, 55
