----------------------------oping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
4995, 0, 0, 0, 0, 0
5095, -5, 31, -1, 10, -2
5196, -10, 62, -1, 20, -4
5297, -15, 93, -2, 35, -7
5398, -20, 124, -3, 50, -9
5499, -25, 155, -3, 70, -12
5600, -30, 186, -4, 90, -16
5701, -35, 217, -4, 110, -19
5803, -40, 248, -5, 130, -23
5904, -44, 258, -16, 155, -28
6005, -48, 268, -28, 180, -32
6106, -52, 278, -39, 210, -37
6207, -56, 288, -50, 240, -42
6308, -60, 298, -61, 270, -48
6409, -64, 308, -73, 300, -53
6510, -68, 318, -84, 320, -59
6611, -72, 328, -95, 340, -64
6712, -51, 327, -102, 365, -68
6813, -30, 326, -109, 390, -73
6914, -9, 325, -116, 420, -78
7015, 12, 324, -123, 450, -84
7116, 33, 323, -129, 485, -89
7217, 54, 322, -136, 520, -96
7318, 75, 321, -143, 565, -102
7419, 96, 320, -150, 610, -110
7520, 85, 321, -189, 635, -117
7621, 74, 322, -229, 660, -123
7723, 63, 323, -268, 680, -129
7824, 52, 324, -308, 700, -135
7925, 41, 325, -347, 715, -139
8026, 30, 326, -386, 730, -143
8127, 19, 327, -426, 740, -147
8228, 8, 328, -465, 750, -149
8329, 10, 341, -459, 770, -152
8430, 12, 354, -453, 790, -156
8531, 14, 367, -446, 800, -159
8632, 16, 380, -440, 810, -162
8733, 18, 393, -434, 815, -163
8834, 20, 406, -428, 820, -164
8935, 22, 419, -421, 825, -165
9036, 24, 432, -415, 830, -166
9137, 20, 430, -351, 840, -168
9238, 16, 428, -288, 850, -170
9339, 12, 426, -224, 855, -171
9440, 8, 424, -160, 860, -172
9541, 4, 422, -96, 865, -173
9643, 0, 420, -33, 870, -174
9744, -4, 418, 31, 880, -176
9845, -8, 416, 95, 890, -178
9945, -8, 416, 95, 890, -178
10046, -8, 416, 95, 890, -178
10147, 3, 411, 53, 875, -176
10248, 14, 406, 10, 860, -173
10349, 25, 401, -33, 840, -170
10450, 36, 396, -75, 820, -166
10551, 47, 391, -118, 795, -162
10652, 58, 386, -160, 770, -158
10753, 69, 381, -203, 735, -153
10854, 80, 376, -245, 700, -147
10955, 82, 377, -239, 650, -141
11056, 84, 378, -234, 600, -133
11157, 86, 379, -228, 555, -125
11258, 88, 380, -223, 510, -117
11359, 90, 381, -217, 450, -109
11460, 92, 382, -211, 390, -99
11561, 94, 383, -206, 360, -90
11663, 96, 384, -200, 330, -81
11764, 79, 346, -177, 300, -73
11865, 62, 308, -154, 270, -66
11967, 45, 270, -131, 240, -59
12069, 28, 232, -108, 210, -52
12170, 11, 194, -84, 180, -45
12271, -6, 156, -61, 150, -39
12372, -23, 118, -38, 125, -32
12474, -40, 80, -15, 100, -27
12575, -35, 70, -13, 80, -21
12676, -30, 60, -11, 60, -16
12777, -25, 50, -9, 45, -12
12878, -20, 40, -8, 30, -8
12979, -15, 30, -6, 20, -5
13080, -10, 20, -4, 10, -2
13181, 0, 0, 0, 0, 0
13282, -5, 31, -1, 10, 0
13383, -10, 62, -1, 20, -3
13484, -15, 93, -2, 35, -6
13585, -20, 124, -3, 50, -9
13686, -25, 155, -3, 70, -12
13787, -30, 186, -4, 90, -16
13888, -35, 217, -4, 110, -20
13989, -40, 248, -5, 130, -23
14090, -44, 258, -16, 155, -28
14191, -48, 268, -28, 180, -32
14292, -52, 278, -39, 210, -37
14394, -56, 288, -50, 240, -42
14495, -60, 298, -61, 270, -47
14596, -64, 308, -73, 300, -53
14697, -68, 318, -84, 320, -59
14798, -72, 328, -95, 340, -64
14899, -51, 327, -102, 365, -68
15000, -30, 326, -109, 390, -73
15101, -9, 325, -116, 420, -78
15202, 12, 324, -123, 450, -84
15303, 33, 323, -129, 485, -90
15404, 54, 322, -136, 520, -96
15505, 75, 321, -143, 565, -102
15606, 96, 320, -150, 610, -110
15707, 85, 321, -189, 635, -117
15808, 74, 322, -229, 660, -123
15909, 63, 323, -268, 680, -129
16010, 52, 324, -308, 700, -135
16111, 41, 325, -347, 715, -139
16212, 30, 326, -386, 730, -143
16314, 19, 327, -426, 740, -147
16415, 8, 328, -465, 750, -149
16516, 10, 341, -459, 770, -152
16617, 12, 354, -453, 790, -156
16718, 14, 367, -446, 800, -159
16819, 16, 380, -440, 810, -161
16920, 18, 393, -434, 815, -163
17021, 20, 406, -428, 820, -164
17122, 22, 419, -421, 825, -165
17223, 24, 432, -415, 830, -166
17324, 20, 430, -351, 840, -168
17425, 16, 428, -288, 850, -170
17526, 12, 426, -224, 855, -171
17627, 8, 424, -160, 860, -172
