-------------------------------------ping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
1121, 0, 0, 0, 0, 0
1221, -5, 31, -1, 10, 0
1323, -10, 62, -1, 20, 1
1424, -15, 93, -2, 35, 2
1525, -20, 124, -3, 50, 3
1626, -25, 155, -3, 70, 4
1727, -30, 186, -4, 90, 5
1828, -35, 217, -4, 110, 6
1929, -40, 248, -5, 130, 8
2030, -44, 258, -16, 155, 8
2131, -48, 268, -28, 180, 9
2232, -52, 278, -39, 210, 10
2333, -56, 288, -50, 240, 11
2434, -60, 298, -61, 270, 12
2535, -64, 308, -73, 300, 12
2636, -68, 318, -84, 320, 13
2737, -72, 328, -95, 340, 14
2838, -51, 327, -102, 365, 12
2939, -30, 326, -109, 390, 9
3040, -9, 325, -116, 420, 5
3141, 12, 324, -123, 450, 1
3243, 33, 323, -129, 485, -4
3344, 54, 322, -136, 520, -8
3445, 75, 321, -143, 565, -12
3546, 96, 320, -150, 610, -16
3647, 85, 321, -189, 635, -19
3748, 74, 322, -229, 660, -19
3849, 63, 323, -268, 680, -16
3950, 52, 324, -308, 700, -13
4051, 41, 325, -347, 715, -10
4152, 30, 326, -386, 730, -7
4253, 19, 327, -426, 740, -5
4354, 8, 328, -465, 750, -3
4455, 10, 341, -459, 770, -2
4556, 12, 354, -453, 790, -3
4657, 14, 367, -446, 800, -3
4758, 16, 380, -440, 810, -4
4859, 18, 393, -434, 815, -4
4960, 20, 406, -428, 820, -4
5061, 22, 419, -421, 825, -5
5163, 24, 432, -415, 830, -5
5264, 20, 430, -351, 840, -5
5365, 16, 428, -288, 850, -4
5466, 12, 426, -224, 855, -3
5567, 8, 424, -160, 860, -2
5668, 4, 422, -96, 865, -1
5769, 0, 420, -33, 870, -1
5870, -4, 418, 31, 880, 0
5971, -8, 416, 95, 890, 1
6071, -8, 416, 95, 890, 1
6171, -8, 416, 95, 890, 1
6272, 3, 411, 53, 875, 0
6373, 14, 406, 10, 860, -3
6474, 25, 401, -33, 840, -5
6575, 36, 396, -75, 820, -7
6676, 47, 391, -118, 795, -9
6777, 58, 386, -160, 770, -11
6878, 69, 381, -203, 735, -14
6979, 80, 376, -245, 700, -16
7080, 82, 377, -239, 650, -17
7181, 84, 378, -234, 600, -17
7282, 86, 379, -228, 555, -18
7383, 88, 380, -223, 510, -18
7484, 90, 381, -217, 450, -18
7585, 92, 382, -211, 390, -19
7686, 94, 383, -206, 360, -19
7787, 96, 384, -200, 330, -20
7889, 79, 346, -177, 300, -18
7990, 62, 308, -154, 270, -15
8091, 45, 270, -131, 240, -12
8192, 28, 232, -108, 210, -8
8293, 11, 194, -84, 180, -5
8394, -6, 156, -61, 150, -1
8496, -23, 118, -38, 125, 2
8597, -40, 80, -15, 100, 5
8698, -35, 70, -13, 80, 7
8799, -30, 60, -11, 60, 5
8900, -25, 50, -9, 45, 4
9001, -20, 40, -8, 30, 3
9103, -15, 30, -6, 20, 2
9204, -10, 20, -4, 10, 1
9305, 0, 0, 0, 0, -1
9406, -5, 31, -1, 10, -1
9507, -10, 62, -1, 20, 0
9608, -15, 93, -2, 35, 1
9709, -20, 124, -3, 50, 2
9810, -25, 155, -3, 70, 3
9911, -30, 186, -4, 90, 4
10012, -35, 217, -4, 110, 5
10113, -40, 248, -5, 130, 6
10214, -44, 258, -16, 155, 7
10315, -48, 268, -28, 180, 8
10416, -52, 278, -39, 210, 9
10517, -56, 288, -50, 240, 10
10618, -60, 298, -61, 270, 11
10719, -64, 308, -73, 300, 11
10820, -68, 318, -84, 320, 12
10921, -72, 328, -95, 340, 13
11023, -51, 327, -102, 365, 11
11124, -30, 326, -109, 390, 8
11225, -9, 325, -116, 420, 4
11326, 12, 324, -123, 450, 0
11427, 33, 323, -129, 485, -5
11528, 54, 322, -136, 520, -9
11629, 75, 321, -143, 565, -13
11730, 96, 320, -150, 610, -17
11831, 85, 321, -189, 635, -20
11932, 74, 322, -229, 660, -20
12033, 63, 323, -268, 680, -18
12134, 52, 324, -308, 700, -14
12235, 41, 325, -347, 715, -11
12336, 30, 326, -386, 730, -8
12437, 19, 327, -426, 740, -6
12538, 8, 328, -465, 750, -4
12639, 10, 341, -459, 770, -3
12740, 12, 354, -453, 790, -4
12841, 14, 367, -446, 800, -4
12943, 16, 380, -440, 810, -5
13044, 18, 393, -434, 815, -5
13145, 20, 406, -428, 820, -5
13246, 22, 419, -421, 825, -6
13347, 24, 432, -415, 830, -6
13448, 20, 430, -351, 840, -6
13549, 16, 428, -288, 850, -5
13650, 12, 426, -224, 855, -4
13751, 8, 424, -160, 860, -3
13852, 4, 422, -96, 865, -2
13953, 0, 420, -33, 870, -2
14054, -4, 418, 31, 880, -1
14155, -8, 416, 95, 890, 0
14255, -8, 416, 95, 890, 0
14355, -8, 416, 95, 890, 0
14456, 3, 411, 53, 875, -1
14557, 14, 406, 10, 860, -4
14658, 25, 401, -33, 840, -6
14759, 36, 396, -75, 820, -8
14860, 47, 391, -118, 795, -10
14961, 58, 386, -160, 770, -12
15062, 69, 381, -203, 735, -15
15163, 80, 376, -245, 700, -17
15264, 82, 377, -239, 650, -18
15365, 84, 378, -234, 600, -18
15466, 86, 379, -228, 555, -19
15567, 88, 380, -223, 510, -19
15668, 90, 381, -217, 450, -19
15769, 92, 382, -211, 390, -20
15870, 94, 383, -206, 360, -20
15972, 96, 384, -200, 330, -21
16073, 79, 346, -177, 300, -19
16174, 62, 308, -154, 270, -16
16276, 45, 270, -131, 240, -13
16377, 28, 232, -108, 210, -9
16478, 11, 194, -84, 180, -6
16579, -6, 156, -61, 150, -2
16680, -23, 118, -38, 125, 1
16781, -40, 80, -15, 100, 4
16882, -35, 70, -13, 80, 6
16983, -30, 60, -11, 60, 5
17084, -25, 50, -9, 45, 4
17185, -20, 40, -8, 30, 3
17286, -15, 30, -6, 20, 2
17387, -10, 20, -4, 10, 1
17488, 0, 0, 0, 0, -1
17589, -5, 31, -1, 10, 0
17690, -10, 62, -1, 20, 1
17792, -15, 93, -2, 35, 2
17893, -20, 124, -3, 50, 3
17994, -25, 155, -3, 70, 4
18095, -30, 186, -4, 90, 5
18196, -35, 217, -4, 110, 6
18297, -40, 248, -5, 130, 7
18398, -44, 258, -16, 155, 8
18499, -48, 268, -28, 180, 9
18600, -52, 278, -39, 210, 10
18701, -56, 288, -50, 240, 11
18802, -60, 298, -61, 270, 12
18903, -64, 308, -73, 300, 12
19004, -68, 318, -84, 320, 13
19105, -72, 328, -95, 340, 14
19206, -51, 327, -102, 365, 12
19307, -30, 326, -109, 390, 9
19408, -9, 325, -116, 420, 5
19509, 12, 324, -123, 450, 1
19610, 33, 323, -129, 485, -4
19712, 54, 322, -136, 520, -8
19813, 75, 321, -143, 565, -12
19914, 96, 320, -150, 610, -16
20015, 85, 321, -189, 635, -19
20116, 74, 322, -229, 660, -18
20217, 63, 323, -268, 680, -15
20318, 52, 324, -308, 700, -12
20419, 41, 325, -347, 715, -9
20520, 30, 326, -386, 730, -6
20621, 19, 327, -426, 740, -4
20722, 8, 328, -465, 750, -2
20823, 10, 341, -459, 770, -1
20924, 12, 354, -453, 790, -2
21025, 14, 367, -446, 800, -2
21126, 16, 380, -440, 810, -3
21227, 18, 393, -434, 815, -3
21328, 20, 406, -428, 820, -3
21429, 22, 419, -421, 825, -4
21530, 24, 432, -415, 830, -4
21632, 20, 430, -351, 840, -4
21733, 16, 428, -288, 850, -3
21834, 12, 426, -224, 855, -2
21935, 8, 424, -160, 860, -1
22036, 4, 422, -96, 865, 0
22137, 0, 420, -33, 870, 0
22238, -4, 418, 31, 880, 1
22339, -8, 416, 95, 890, 2
22439, -8, 416, 95, 890, 2
22539, -8, 416, 95, 890, 2
22640, 3, 411, 53, 875, 1
22742, 14, 406, 10, 860, -2
22843, 25, 401, -33, 840, -4
22944, 36, 396, -75, 820, -6
23045, 47, 391, -118, 795, -8
23146, 58, 386, -160, 770, -10
23247, 69, 381, -203, 735, -13
23348, 80, 376, -245, 700, -15
23449, 82, 377, -239, 650, -16
23550, 84, 378, -234, 600, -16
23652, 86, 379, -228, 555, -17
23753, 88, 380, -223, 510, -17
23854, 90, 381, -217, 450, -17
23955, 92, 382, -211, 390, -18
24056, 94, 383, -206, 360, -18
24157, 96, 384, -200, 330, -19
24258, 79, 346, -177, 300, -17
24359, 62, 308, -154, 270, -14
24460, 45, 270, -131, 240, -11
24561, 28, 232, -108, 210, -7
24662, 11, 194, -84, 180, -4
24763, -6, 156, -61, 150, 0
24864, -23, 118, -38, 125, 3
24965, -40, 80, -15, 100, 6
25066, -35, 70, -13, 80, 8
25167, -30, 60, -11, 60, 8
25268, -25, 50, -9, 45, 6
25369, -20, 40, -8, 30, 5
25470, -15, 30, -6, 20, 4
25572, -10, 20, -4, 10, 3
25673, 0, 0, 0, 0, 1
25774, -5, 31, -1, 10, 2
25875, -10, 62, -1, 20, 3
25976, -15, 93, -2, 35, 4
26077, -20, 124, -3, 50, 5
26178, -25, 155, -3, 70, 6
26279, -30, 186, -4, 90, 7
26380, -35, 217, -4, 110, 8
26481, -40, 248, -5, 130, 9
26582, -44, 258, -16, 155, 10
26683, -48, 268, -28, 180, 11
26784, -52, 278, -39, 210, 12
26885, -56, 288, -50, 240, 13
26986, -60, 298, -61, 270, 14
27087, -64, 308, -73, 300, 14
27188, -68, 318, -84, 320, 15
27289, -72, 328, -95, 340, 16
27390, -51, 327, -102, 365, 14
27492, -30, 326, -109, 390, 11
27593, -9, 325, -116, 420, 7
27694, 12, 324, -123, 450, 3
27795, 33, 323, -129, 485, -2
27896, 54, 322, -136, 520, -6
27997, 75, 321, -143, 565, -10
28098, 96, 320, -150, 610, -14
28199, 85, 321, -189, 635, -17
28300, 74, 322, -229, 660, -16
28401, 63, 323, -268, 680, -14
28502, 52, 324, -308, 700, -10
28603, 41, 325, -347, 715, -7
28704, 30, 326, -386, 730, -4
28805, 19, 327, -426, 740, -2
28906, 8, 328, -465, 750, 0
29007, 10, 341, -459, 770, 1
29108, 12, 354, -453, 790, 0
29209, 14, 367, -446, 800, 0
29310, 16, 380, -440, 810, -1
29412, 18, 393, -434, 815, -1
29513, 20, 406, -428, 820, -1
29614, 22, 419, -421, 825, -2
29715, 24, 432, -415, 830, -2
29816, 20, 430, -351, 840, -2
29917, 16, 428, -288, 850, -1
30018, 12, 426, -224, 855, 0
30119, 8, 424, -160, 860, 1
30220, 4, 422, -96, 865, 2
30321, 0, 420, -33, 870, 2
30422, -4, 418, 31, 880, 3
30523, -8, 416, 95, 890, 4
30623, -8, 416, 95, 890, 4
30723, -8, 416, 95, 890, 4
30824, 3, 411, 53, 875, 3
30925, 14, 406, 10, 860, 0
31026, 25, 401, -33, 840, -2
31127, 36, 396, -75, 820, -4
31228, 47, 391, -118, 795, -6
31329, 58, 386, -160, 770, -8
31430, 69, 381, -203, 735, -11
31531, 80, 376, -245, 700, -13
31632, 82, 377, -239, 650, -14
31733, 84, 378, -234, 600, -14
31834, 86, 379, -228, 555, -15
31935, 88, 380, -223, 510, -15
32036, 90, 381, -217, 450, -15
32137, 92, 382, -211, 390, -16
32238, 94, 383, -206, 360, -16
32339, 96, 384, -200, 330, -17
32440, 79, 346, -177, 300, -15
32541, 62, 308, -154, 270, -12
32642, 45, 270, -131, 240, -9
32743, 28, 232, -108, 210, -5
32844, 11, 194, -84, 180, -2
32945, -6, 156, -61, 150, 2
33046, -23, 118, -38, 125, 5
33147, -40, 80, -15, 100, 8
33248, -35, 70, -13, 80, 10
33349, -30, 60, -11, 60, 10
33451, -25, 50, -9, 45, 8
33552, -20, 40, -8, 30, 7
33653, -15, 30, -6, 20, 6
33754, -10, 20, -4, 10, 5
33855, 0, 0, 0, 0, 3
33956, -5, 31, -1, 10, 3
34057, -10, 62, -1, 20, 4
34158, -15, 93, -2, 35, 5
34259, -20, 124, -3, 50, 6
34360, -25, 155, -3, 70, 7
34461, -30, 186, -4, 90, 8
34562, -35, 217, -4, 110, 9
34663, -40, 248, -5, 130, 10
34764, -44, 258, -16, 155, 11
34865, -48, 268, -28, 180, 12
34966, -52, 278, -39, 210, 13
35067, -56, 288, -50, 240, 14
35168, -60, 298, -61, 270, 15
35269, -64, 308, -73, 300, 15
35371, -68, 318, -84, 320, 16
35472, -72, 328, -95, 340, 17
