-------------------------------------
ng (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
2796, 0, 0, 0, 0, 0
2896, -5, 31, -1, 10, -2
2997, -10, 62, -1, 20, -6
3098, -15, 93, -2, 35, -11
3200, -20, 124, -3, 50, -17
3301, -25, 155, -3, 70, -23
3402, -30, 186, -4, 90, -29
3503, -35, 217, -4, 110, -35
3604, -40, 248, -5, 130, -41
3705, -44, 258, -16, 155, -47
3806, -48, 268, -28, 180, -51
3907, -52, 278, -39, 210, -54
4008, -56, 288, -50, 240, -56
4109, -60, 298, -61, 270, -59
4210, -64, 308, -73, 300, -61
4311, -68, 318, -84, 320, -63
4412, -72, 328, -95, 340, -65
4513, -51, 327, -102, 365, -66
4614, -30, 326, -109, 390, -65
4715, -9, 325, -116, 420, -65
4816, 12, 324, -123, 450, -65
4917, 33, 323, -129, 485, -65
5018, 54, 322, -136, 520, -65
5120, 75, 321, -143, 565, -64
5221, 96, 320, -150, 610, -64
5322, 85, 321, -189, 635, -64
5423, 74, 322, -229, 660, -64
5524, 63, 323, -268, 680, -64
5625, 52, 324, -308, 700, -65
5726, 41, 325, -347, 715, -65
5827, 30, 326, -386, 730, -65
5928, 19, 327, -426, 740, -65
6029, 8, 328, -465, 750, -65
6130, 10, 341, -459, 770, -67
6231, 12, 354, -453, 790, -70
6332, 14, 367, -446, 800, -72
6433, 16, 380, -440, 810, -75
6534, 18, 393, -434, 815, -77
6635, 20, 406, -428, 820, -80
6736, 22, 419, -421, 825, -83
6837, 24, 432, -415, 830, -85
6938, 20, 430, -351, 840, -86
7040, 16, 428, -288, 850, -85
7141, 12, 426, -224, 855, -84
7242, 8, 424, -160, 860, -84
7343, 4, 422, -96, 865, -84
7444, 0, 420, -33, 870, -83
7545, -4, 418, 31, 880, -83
7646, -8, 416, 95, 890, -82
7746, -8, 416, 95, 890, -82
7846, -8, 416, 95, 890, -82
7947, 3, 411, 53, 875, -81
8048, 14, 406, 10, 860, -80
8150, 25, 401, -33, 840, -80
8251, 36, 396, -75, 820, -78
8352, 47, 391, -118, 795, -77
8453, 58, 386, -160, 770, -77
8554, 69, 381, -203, 735, -76
8655, 80, 376, -245, 700, -74
8756, 82, 377, -239, 650, -74
8857, 84, 378, -234, 600, -75
8958, 86, 379, -228, 555, -75
9060, 88, 380, -223, 510, -75
9161, 90, 381, -217, 450, -75
9262, 92, 382, -211, 390, -75
9363, 94, 383, -206, 360, -76
9464, 96, 384, -200, 330, -76
9565, 79, 346, -177, 300, -74
9666, 62, 308, -154, 270, -70
9767, 45, 270, -131, 240, -64
9868, 28, 232, -108, 210, -57
9969, 11, 194, -84, 180, -50
10070, -6, 156, -61, 150, -43
10171, -23, 118, -38, 125, -35
10272, -40, 80, -15, 100, -28
10374, -35, 70, -13, 80, -21
10475, -30, 60, -11, 60, -16
10576, -25, 50, -9, 45, -12
10677, -20, 40, -8, 30, -9
10778, -15, 30, -6, 20, -6
10880, -10, 20, -4, 10, -4
10981, 0, 0, 0, 0, -1
11082, -5, 31, -1, 10, 1
11183, -10, 62, -1, 20, -1
11284, -15, 93, -2, 35, -5
11385, -20, 124, -3, 50, -11
11486, -25, 155, -3, 70, -18
11587, -30, 186, -4, 90, -25
11688, -35, 217, -4, 110, -32
11789, -40, 248, -5, 130, -39
11890, -44, 258, -16, 155, -44
11991, -48, 268, -28, 180, -49
12092, -52, 278, -39, 210, -53
12193, -56, 288, -50, 240, -55
12294, -60, 298, -61, 270, -58
12395, -64, 308, -73, 300, -60
12496, -68, 318, -84, 320, -62
