Available commands:
a: Operate all motors simultaneously (100ms interval)
1: Operate only motor 1 (X)
2: Operate only motor 2 (Y)
3: Operate only motor 3 (Z)
4: Operate only motor 4 (C)
e: Print current encoder value once
r: Reset encoder value
w: Encoder toggle on/off (Prints changes every 50ms when ON)
s: Emergency stop !!
m: Repeat motor movements with max and min values of Nx
Encoder monitoring mode: ON (Prints changes every 50ms)
Moving all motors simultaneously (100ms interval)
Time(ms), Encoder Value
8,0
58,0
108,-1
158,-1
208,-2
258,-4
308,-6
358,-8
408,-11
458,-14
508,-17
558,-21
608,-25
658,-30
708,-35
758,-40
808,-46
858,-52
908,-59
958,-65
1008,-72
1058,-80
1109,-88
1159,-97
1209,-105
1259,-114
1309,-122
1359,-130
1409,-138
1459,-145
1509,-152
1559,-159
1609,-165
1659,-171
1709,-177
1759,-183
1809,-189
1859,-195
1909,-201
1959,-208
2009,-214
2059,-221
2109,-228
2159,-234
2209,-241
2259,-246
2309,-252
2359,-257
2409,-261
2459,-266
2509,-270
2560,-273
2610,-276
2660,-279
2710,-281
2760,-283
2810,-285
2860,-286
2910,-287
2960,-287
3010,-286
3060,-285
3110,-284
3160,-282
3210,-280
3260,-277
3310,-274
3360,-271
3410,-268
3460,-264
3510,-261
3560,-257
3610,-252
3660,-248
3710,-243
3760,-237
3810,-231
3860,-225
3910,-218
3960,-211
4010,-204
4060,-196
Completed all movements based on array data.
Total execution time: 4.101초
E,17508,-189
Moving all motors simultaneously (100ms interval)
Time(ms), Encoder Value
18,-190
68,-181
118,-173
168,-163
218,-154
268,-146
318,-138
368,-130
418,-122
468,-115
518,-108
568,-102
618,-96
668,-90
718,-85
768,-80
818,-75
868,-70
918,-66
968,-63
1018,-59
1068,-56
1119,-54
1169,-51
1219,-50
1269,-48
1319,-47
1369,-47
1419,-46
1469,-47
1519,-48
1569,-50
1619,-52
1669,-54
1719,-57
1769,-61
1819,-64
1869,-68
1919,-72
1969,-77
2019,-82
2069,-87
2119,-93
2169,-99
2219,-105
2269,-112
2319,-119
2369,-127
2419,-135
2469,-143
2519,-151
2570,-160
2620,-170
2670,-179
2720,-187
2770,-195
2820,-203
2870,-210
2920,-217
2970,-224
3020,-230
3070,-236
3120,-241
3170,-246
3220,-251
3270,-255
3320,-259
3370,-263
3420,-266
3470,-269
3520,-271
3570,-274
3620,-275
3670,-276
3720,-277
3770,-278
3820,-278
3870,-277
3920,-276
3970,-274
4020,-272
4070,-269
Completed all movements based on array data.
Total execution time: 4.102초
E,34916,-267

SI y axis
===================================================

Time(ms), Encoder Value
44,0
94,0
145,0
195,1
245,2
295,4
345,6
395,9
445,12
495,15
545,18
595,21
645,24
695,27
745,30
795,33
845,36
895,39
945,41
995,43
1045,45
1095,46
1145,47
1195,48
1245,47
1295,46
1345,45
1395,43
1445,41
1495,39
1545,36
1595,33
1645,29
1695,25
1745,20
1795,16
1845,12
1895,8
1945,4
1995,1
2045,-2
2095,-5
2145,-8
2195,-10
2245,-12
2295,-14
2345,-15
2395,-15
2445,-16
2495,-15
2545,-14
2595,-12
2645,-11
2695,-9
2745,-9
2795,-8
2845,-8
2895,-9
2945,-10
2995,-12
3046,-14
3096,-17
3146,-20
3196,-23
3246,-27
3296,-31
3346,-36
3396,-40
3446,-44
3496,-48
3546,-51
3596,-54
3646,-56
3696,-59
3746,-60
3796,-62
3846,-63
3896,-63
3946,-63
3996,-62
4046,-61
4096,-59
Completed all movements based on array data.
Total execution time: 4.103초
E,8823,-59
Moving all motors simultaneously (100ms interval)
Time(ms), Encoder Value
10,-59
60,-56
110,-54
160,-51
210,-47
260,-43
310,-39
360,-35
410,-30
460,-25
510,-19
560,-14
610,-8
660,-2
710,3
760,8
810,13
860,18
910,22
960,27
1010,30
1060,34
1110,37
1161,39
1211,42
1261,44
1311,45
1361,46
1411,47
1461,47
1511,46
1561,45
1611,44
1661,42
1711,39
1761,36
1811,33
1861,30
1911,26
1961,21
2011,17
2061,12
2111,8
2161,4
2211,0
2261,-3
2311,-6
2361,-9
2411,-11
2461,-13
2511,-14
2561,-15
2611,-15
2661,-14
2711,-13
2761,-13
2811,-12
2861,-13
2911,-14
2961,-15
3011,-17
3061,-19
3111,-22
3161,-25
3211,-28
3261,-32
3311,-36
3361,-40
3411,-44
3461,-48
3511,-51
3561,-54
3611,-56
3661,-58
3711,-60
3761,-61
3811,-62
3861,-62
3911,-61
3961,-60
4011,-59
4062,-57
Completed all movements based on array data.
Total execution time: 4.103초
E,16477,-55

LR x axis
============================================
Time(ms), Encoder Value
44,0
94,0
144,0
194,0
244,0
294,0
344,1
394,1
444,1
494,1
544,1
594,2
644,3
694,4
744,5
794,7
844,9
894,11
944,13
994,15
1044,17
1094,19
1144,21
1194,23
1244,26
1295,27
1345,29
1395,31
1445,33
1495,36
1545,39
1595,41
1645,45
1695,48
1745,52
1795,56
1845,60
1895,64
1945,68
1995,71
2045,74
2095,77
2145,80
2195,83
2245,85
2295,87
2345,89
2395,91
2445,92
2495,93
2545,94
2595,95
2645,95
2695,95
2745,94
2795,94
2845,93
2895,91
2945,89
2995,87
3045,85
3095,83
3145,80
3195,77
3245,74
3295,71
3345,67
3395,64
3445,61
3495,58
3545,54
3595,51
3645,47
3695,43
3745,40
3795,36
3845,32
3895,29
3945,25
3995,22
4045,19
4095,16
Completed all movements based on array data.
Total execution time: 4.103초
E,13048,16
Moving all motors simultaneously (100ms interval)
Time(ms), Encoder Value
34,14
84,12
134,10
184,8
234,6
284,5
334,4
384,3
434,2
484,2
534,2
584,3
635,3
685,5
735,6
785,8
835,9
885,12
935,14
985,16
1035,18
1085,20
1135,22
1185,24
1235,26
1285,29
1335,31
1385,33
1435,35
1485,37
1535,40
1585,43
1635,46
1685,50
1735,54
1785,57
1835,61
1885,65
1935,69
1985,73
2035,76
2085,79
2135,82
2185,85
2235,87
2285,89
2335,91
2385,93
2435,94
2485,95
2535,96
2585,96
2635,97
2685,97
2735,97
2785,96
2835,95
2885,93
2935,92
2985,90
3035,88
3085,85
3135,83
3185,80
3235,77
3285,74
3335,70
3385,67
3435,64
3485,61
3536,57
3586,54
3636,50
3686,46
3736,42
3786,38
3836,35
3886,31
3936,27
3986,24
4036,21
4086,18
Completed all movements based on array data.
Total execution time: 4.105초
E,22403,17

AP z axis
============================================
Time(ms), Encoder Value
40,57
90,57
140,56
191,56
241,55
291,54
341,52
391,51
441,49
491,46
541,44
591,41
641,38
691,35
741,32
791,28
841,24
891,20
941,16
991,12
1041,8
1091,5
1141,0
1191,-4
1241,-8
1291,-13
1341,-18
1391,-23
1441,-28
1491,-33
1541,-37
1591,-42
1641,-47
1691,-51
1741,-56
1791,-60
1841,-64
1891,-68
1941,-72
1991,-76
2041,-79
2091,-83
2141,-86
2191,-90
2241,-93
2291,-96
2341,-99
2391,-102
2441,-104
2491,-107
2541,-110
2591,-112
2641,-114
2691,-115
2741,-117
2791,-118
2841,-119
2891,-119
2941,-120
2991,-120
3041,-119
3092,-119
3142,-117
3192,-116
3242,-114
3292,-113
3342,-110
3392,-108
3442,-105
3492,-102
3542,-99
3592,-96
3642,-92
3692,-89
3742,-85
3792,-81
